relig,cappun,age,educ
none,,26.0,20.0
catholic,,56.0,14.0
protestant,,35.0,14.0
protestant,,78.0,9.0
protestant,,83.0,8.0
protestant,,54.0,16.0
protestant,,34.0,14.0
protestant,,33.0,12.0
catholic,,28.0,12.0
protestant,,70.0,8.0
protestant,,49.0,13.0
protestant,,23.0,12.0
other,,47.0,14.0
protestant,,57.0,4.0
none,,25.0,16.0
protestant,,60.0,8.0
protestant,,24.0,12.0
protestant,,33.0,12.0
protestant,,25.0,14.0
none,,21.0,13.0
protestant,,43.0,17.0
protestant,,53.0,16.0
protestant,,43.0,18.0
protestant,,49.0,12.0
protestant,,36.0,12.0
catholic,,32.0,15.0
catholic,,34.0,12.0
protestant,,78.0,14.0
catholic,,73.0,7.0
catholic,,73.0,12.0
protestant,,70.0,12.0
protestant,,27.0,12.0
protestant,,82.0,10.0
catholic,,22.0,15.0
protestant,,67.0,7.0
catholic,,51.0,14.0
protestant,,54.0,14.0
protestant,,49.0,10.0
protestant,,36.0,15.0
protestant,,45.0,12.0
protestant,,35.0,12.0
protestant,,42.0,15.0
protestant,,56.0,14.0
catholic,,54.0,9.0
catholic,,52.0,8.0
catholic,,30.0,9.0
catholic,,38.0,8.0
catholic,,24.0,13.0
catholic,,42.0,4.0
catholic,,45.0,8.0
catholic,,47.0,12.0
catholic,,36.0,6.0
catholic,,45.0,10.0
catholic,,42.0,16.0
protestant,,22.0,14.0
protestant,,31.0,15.0
catholic,,28.0,15.0
catholic,,30.0,12.0
protestant,,26.0,16.0
protestant,,26.0,16.0
catholic,,39.0,12.0
protestant,,21.0,10.0
catholic,,19.0,11.0
catholic,,61.0,9.0
none,,65.0,12.0
protestant,,74.0,8.0
catholic,,61.0,17.0
catholic,,64.0,20.0
protestant,,24.0,12.0
protestant,,45.0,12.0
catholic,,27.0,12.0
other,,32.0,14.0
protestant,,48.0,16.0
none,,29.0,19.0
protestant,,29.0,16.0
catholic,,23.0,12.0
protestant,,85.0,8.0
catholic,,32.0,12.0
protestant,,67.0,6.0
other,,53.0,8.0
protestant,,28.0,14.0
protestant,,27.0,16.0
catholic,,19.0,13.0
protestant,,34.0,12.0
protestant,,47.0,10.0
protestant,,36.0,10.0
none,,38.0,12.0
protestant,,55.0,7.0
protestant,,38.0,8.0
protestant,,32.0,10.0
protestant,,76.0,9.0
protestant,,20.0,13.0
protestant,,63.0,14.0
protestant,,55.0,16.0
protestant,,48.0,15.0
catholic,,56.0,14.0
protestant,,46.0,12.0
protestant,,65.0,9.0
protestant,,34.0,17.0
protestant,,74.0,7.0
none,,28.0,12.0
catholic,,36.0,12.0
catholic,,52.0,12.0
catholic,,33.0,9.0
catholic,,64.0,11.0
catholic,,29.0,10.0
catholic,,33.0,10.0
catholic,,18.0,11.0
protestant,,65.0,7.0
protestant,,23.0,12.0
protestant,,41.0,12.0
protestant,,49.0,5.0
protestant,,50.0,13.0
catholic,,24.0,12.0
protestant,,65.0,
protestant,,21.0,12.0
protestant,,52.0,12.0
protestant,,71.0,6.0
protestant,,79.0,8.0
protestant,,74.0,8.0
protestant,,74.0,18.0
catholic,,29.0,12.0
none,,31.0,18.0
protestant,,35.0,11.0
protestant,,53.0,12.0
